,date,co,no,no2,o3,so2,pm2_5,pm10,nh3
0,2024-07-30 01:00:00,0.28,1.8,13.18,25.23,3.8,5.83,25.89,92.25
1,2024-07-30 02:00:00,0.25,1.86,11.86,23.66,4.15,6.0,26.0,78.69
2,2024-07-30 03:00:00,0.25,1.86,9.59,23.35,3.15,6.93,26.62,57.42
3,2024-07-30 04:00:00,0.27,2.18,10.0,20.98,3.1,6.9,26.73,57.6
4,2024-07-30 05:00:00,0.28,2.35,11.38,23.79,3.22,6.74,27.39,77.65
5,2024-07-30 06:00:00,0.31,2.41,12.88,22.12,3.26,8.0,27.72,72.02
6,2024-07-30 07:00:00,0.33,2.44,12.53,27.52,3.07,15.17,29.59,53.74
7,2024-07-30 08:00:00,0.35,2.12,11.51,34.86,3.08,15.26,29.43,44.03
8,2024-07-30 09:00:00,0.36,1.71,13.14,42.2,3.31,15.79,28.54,53.19
9,2024-07-30 10:00:00,0.38,1.3,15.49,43.83,3.66,16.21,29.16,58.34
10,2024-07-30 11:00:00,0.33,1.06,16.21,46.65,3.97,18.61,32.63,47.06
11,2024-07-30 12:00:00,0.35,2.35,14.62,47.28,3.42,18.31,33.18,34.89
12,2024-07-30 13:00:00,0.32,2.3,12.42,49.04,3.43,16.6,36.3,35.95
13,2024-07-30 14:00:00,0.29,2.24,13.4,61.73,3.77,16.83,35.66,49.19
14,2024-07-30 15:00:00,0.27,2.07,15.71,61.31,3.31,18.14,32.0,44.77
15,2024-07-30 16:00:00,0.26,2.22,13.7,45.31,3.06,18.32,32.59,33.23
16,2024-07-30 17:00:00,0.29,2.49,13.69,35.39,2.86,19.35,35.94,31.71
17,2024-07-30 18:00:00,0.3,2.63,15.06,34.09,3.51,19.3,36.33,37.99
18,2024-07-30 19:00:00,0.33,2.94,17.62,28.69,3.68,19.02,38.53,42.4
19,2024-07-30 20:00:00,0.35,2.2,16.17,30.77,3.88,19.23,38.18,35.29
